,Symbol ,Company Name ,Industry ,Market Cap 
438,ARWR,Arrowhead Pharmaceuticals,Biotechnology,2.75B
439,ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,86.01M
440,ASA,ASA Gold and Precious Metals,Asset Management,255.21M
441,ASAI,Sendas Distribuidora,Grocery Stores,3.22B
442,ASAN,Asana,Software - Application,3.94B
443,ASB,Associated Banc-Corp,Banks - Regional,2.50B
444,ASC,Ardmore Shipping,Marine Shipping,534.37M
445,ASCA,A SPAC I Acquisition,Shell Companies,59.10M
446,ASCB,A SPAC II Acquisition,Shell Companies,80.08M
447,ASGN,ASGN Incorporated,Information Technology Services,4.01B
448,ASH,Ashland,Specialty Chemicals,4.04B
449,ASIX,AdvanSix,Chemicals,819.93M
450,ASLE,AerSale,Airports & Air Services,824.34M
451,ASLN,ASLAN Pharmaceuticals,Biotechnology,22.17M
452,ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,59.85M
453,ASMB,Assembly Biosciences,Biotechnology,38.43M
454,ASML,ASML Holding,Semiconductor Equipment & Materials,236.89B
455,ASND,Ascendis Pharma,Biotechnology,5.29B
456,ASNS,Actelis Networks,Communication Equipment,3.17M
457,ASO,Academy Sports and Outdoors,Specialty Retail,3.39B
458,ASPA,Abri SPAC I,Shell Companies,26.27M
459,ASPI,ASP Isotopes,Chemicals,39.63M
460,ASPN,Aspen Aerogels,Building Products & Equipment,591.85M
461,ASPS,Altisource Portfolio Solutions,Real Estate Services,105.56M
462,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,6.65B
463,ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,231.84M
464,ASRV,AmeriServ Financial,Banks - Regional,44.07M
465,ASST,Asset Entities,Internet Content & Information,4.13M
466,ASTC,Astrotech,Aerospace & Defense,15.73M
467,ASTE,Astec Industries,Farm & Heavy Construction Machinery,1.05B
468,ASTI,Ascent Solar Technologies,Solar,5.73M
469,ASTL,Algoma Steel Group,Steel,685.85M
